day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,NUM_COLLISIONS
6,2017,02,04,2017-02-04,27.6,5.2,1025.6,10.0,7.7,12.0,24.1,34.0,21.9,0.0,999.9,0,0,0,0,0,0,541
3,2015,02,11,2015-02-11,28.3,12.2,1017.2,10.0,7.8,15.9,24.1,39.9,21.9,0.01,7.9,0,0,0,0,0,0,610
4,2016,02,11,2016-02-11,26.1,4.3,1010.9,9.5,8.0,13.0,28.9,39.0,21.9,0.0,999.9,0,0,1,0,0,0,622
6,2013,02,09,2013-02-09,28.8,21.0,1013.9,3.4,8.0,14.0,25.1,32.0,25.0,1.52,999.9,1,0,1,0,0,0,403
2,2015,02,10,2015-02-10,30.0,19.3,1016.7,9.6,8.1,11.1,20.0,39.9,25.0,0.07,7.9,0,0,1,0,0,0,571
1,2013,02,18,2013-02-18,23.4,2.0,1019.7,10.0,8.2,18.1,28.9,35.1,17.1,0.0,999.9,0,0,0,0,0,0,398
5,2017,02,10,2017-02-10,24.2,6.2,1020.6,10.0,8.2,15.0,27.0,44.1,19.0,0.82,2.0,0,0,0,0,0,0,708
7,2014,02,16,2014-02-16,26.6,11.6,1011.2,9.1,8.3,13.0,24.1,37.0,21.0,0.13,18.1,0,0,1,0,0,0,464
5,2016,02,26,2016-02-26,35.5,14.9,1007.5,10.0,8.3,13.0,28.9,39.9,30.9,0.02,999.9,0,0,0,0,0,0,476
5,2017,02,17,2017-02-17,32.1,14.1,1009.7,10.0,8.3,12.0,22.0,41.0,26.1,0.0,999.9,0,0,0,0,0,0,680
5,2013,02,01,2013-02-01,29.3,9.5,1010.9,10.0,8.4,14.0,28.9,34.0,26.1,0.01,999.9,0,0,0,0,0,0,574
1,2015,02,16,2015-02-16,9.8,-11.8,1020.5,10.0,8.5,17.1,32.1,25.0,3.0,0.0,9.1,0,0,0,0,0,0,402
1,2015,02,23,2015-02-23,28.2,8.4,1024.0,10.0,8.7,15.0,24.1,43.0,15.1,0.1,13.0,0,0,0,0,0,0,574
5,2015,02,13,2015-02-13,16.1,-4.7,1017.2,10.0,8.8,15.9,28.0,39.9,8.1,0.0,7.9,0,0,0,0,0,0,757
4,2017,02,16,2017-02-16,33.6,19.1,1000.1,10.0,8.9,13.0,25.1,46.9,30.9,0.0,999.9,0,0,0,0,0,0,652
4,2013,02,21,2013-02-21,28.0,9.8,1015.9,10.0,9.2,15.0,26.0,34.0,24.1,0.0,999.9,0,0,0,0,0,0,498
4,2017,02,09,2017-02-09,33.3,23.6,1004.0,5.2,9.2,17.1,32.1,62.1,21.9,0.34,999.9,1,0,1,0,0,0,507
4,2015,02,19,2015-02-19,20.9,2.1,1008.1,9.7,9.3,14.0,25.1,33.1,14.0,0.0,9.1,0,0,1,0,0,0,515
5,2014,02,14,2014-02-14,35.5,26.4,993.7,6.3,9.3,18.1,26.0,39.9,24.1,1.83,11.8,1,1,1,0,0,0,792
6,2016,02,13,2016-02-13,19.3,-0.7,1015.8,10.0,9.4,18.1,31.1,27.0,9.0,0.0,999.9,0,0,0,0,0,0,480
1,2016,02,08,2016-02-08,36.0,24.2,1009.5,8.8,9.5,14.0,22.9,46.9,30.9,0.0,999.9,0,0,1,0,0,0,501
1,2015,02,09,2015-02-09,27.7,21.0,1014.8,8.8,9.6,15.9,22.9,37.0,25.0,0.03,7.9,0,0,1,0,0,0,547
7,2013,02,17,2013-02-17,29.0,6.6,1006.6,10.0,9.6,17.1,35.0,35.1,24.1,0.0,999.9,0,0,0,0,0,0,447
5,2015,02,20,2015-02-20,10.0,-11.1,1021.3,10.0,9.7,14.0,27.0,27.0,1.9,0.0,9.1,0,0,0,0,0,0,621
1,2017,02,13,2017-02-13,35.2,24.7,1007.0,9.8,9.9,21.0,34.0,39.9,30.0,0.44,2.0,0,1,0,0,0,0,642
3,2013,02,20,2013-02-20,33.8,16.8,1009.1,10.0,9.9,14.0,28.9,45.0,28.9,0.15,999.9,0,0,0,0,0,0,510
5,2013,02,08,2013-02-08,32.3,26.2,1022.6,5.8,10.2,19.0,31.1,34.0,30.0,0.01,999.9,1,1,1,0,0,0,703
4,2014,02,13,2014-02-13,29.9,24.8,1014.2,3.6,10.6,19.0,33.0,36.0,12.9,0.25,9.8,1,1,1,0,0,0,447
3,2013,02,27,2013-02-27,40.2,36.8,1009.0,4.2,10.7,17.1,32.1,46.9,35.6,1.26,999.9,0,1,0,0,0,0,550
7,2015,02,15,2015-02-15,18.9,4.1,1005.5,8.8,10.8,15.0,34.0,32.0,10.0,0.02,7.9,0,0,1,0,0,0,454
2,2016,02,23,2016-02-23,38.0,26.6,1024.7,8.4,10.9,19.0,29.9,52.0,35.1,0.0,999.9,0,1,0,0,0,0,623
3,2016,02,24,2016-02-24,40.7,38.0,1019.6,2.9,11.0,17.1,31.1,55.9,35.1,0.43,999.9,0,1,0,0,0,0,660
5,2019,02,22,2019-02-22,42.3,23.2,1024.8,10.0,999.9,999.9,999.9,52.0,33.1,0.1,1.2,0,0,0,0,0,0,546
6,2019,02,16,2019-02-16,42.3,21.8,1009.1,10.0,999.9,999.9,999.9,59.0,34.0,0.0,999.9,0,0,0,0,0,0,535
3,2019,02,27,2019-02-27,26.3,7.1,1028.3,10.0,999.9,999.9,999.9,36.0,23.0,0.0,999.9,0,0,1,0,0,0,529
