day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,NUM_COLLISIONS,Driver_Inattention,Following_Too_Close,Traffic_Control_Disregarded,Unsafe_Speed,Pavement_Slippery,Alcohol_Involvement,Reaction_Uninvolved_Vehicle,View_Obstructed,Outside_Car_Distraction,Pedestrian_Bicyclist_Confusion,Aggressive_Driving_Rage,Obstruction_Debris,Glare,Pavement_Defective,Animals_Action,Driverless_Runaway_Vehicle,Lighting_Defects,Tinted_Windows,Windshield_Inadequate
2,2019,04,16,2019-04-16,52.4,20.9,1013.7,10.0,8.5,15.9,31.1,66.0,44.1,0.23,999.9,0,0,0,277,165,58,14,11,2,2,9,3,0,6,3,0,1,1,0,2,0,0,0
7,2017,05,14,2017-05-14,52.8,44.6,1004.4,8.8,5.3,15.9,26.0,64.9,44.6,1.5,999.9,0,1,0,315,165,73,14,12,7,12,9,4,1,4,4,2,3,2,1,2,0,0,0
3,2018,03,14,2018-03-14,34.8,19.7,1002.7,10.0,9.1,15.9,27.0,41.0,30.9,0.07,999.9,0,0,0,297,167,71,13,11,5,4,16,4,0,1,4,1,0,0,0,0,0,0,0
2,2017,01,03,2017-01-03,40.1,39.3,1018.4,3.8,11.2,15.9,26.0,43.0,37.0,0.3,999.9,0,1,0,320,173,71,8,11,25,3,11,4,0,7,3,1,0,2,0,0,0,0,1
1,2017,10,30,2017-10-30,55.6,46.7,995.7,7.5,7.6,15.9,31.1,66.9,46.0,3.16,999.9,0,1,0,353,173,90,16,11,10,8,15,9,5,8,1,4,2,0,0,0,1,0,0
5,2016,09,30,2016-09-30,58.6,52.6,1026.4,6.6,9.0,15.9,24.1,64.0,57.0,0.0,999.9,0,1,0,406,197,82,22,11,39,6,17,12,1,13,4,0,1,1,0,0,0,0,0
2,2015,01,27,2015-01-27,24.8,16.8,1005.1,4.3,8.8,17.1,27.0,30.0,21.0,0.78,2.0,1,0,1,72,22,0,5,1,31,3,0,3,2,0,1,4,0,0,0,0,0,0,0
7,2013,12,15,2013-12-15,33.1,27.5,1004.5,6.2,8.1,17.1,25.1,39.9,21.9,1.45,999.9,1,1,1,76,34,0,10,1,18,7,0,4,0,0,0,1,1,0,0,0,0,0,0
1,2015,01,26,2015-01-26,26.5,12.7,1014.6,5.6,9.8,17.1,28.9,35.1,21.2,0.0,2.0,1,0,1,165,40,0,20,1,82,2,1,4,10,0,3,0,0,2,0,0,0,0,0
4,2013,11,28,2013-11-28,33.2,13.3,1018.0,10.0,7.9,17.1,28.9,39.2,30.0,0.31,999.9,0,0,0,84,51,1,7,2,2,5,1,1,6,0,5,1,2,0,0,0,0,0,0
